timestamp,open,high,low,close,volume
2018-02-16,34.5100,34.5100,31.9700,32.8500,2624225
2018-02-15,33.7400,34.6000,33.1800,34.5300,1298367
2018-02-14,32.7600,33.6300,32.3010,33.5100,727726
2018-02-13,32.3700,33.3300,31.9000,33.0800,875276
2018-02-12,31.8900,33.0400,31.8200,32.7000,658086
2018-02-09,31.9700,32.1800,30.4700,31.7500,1101064
2018-02-08,32.7400,33.0700,31.5501,31.5700,872991
2018-02-07,33.2700,33.8700,32.7700,32.8100,790844
2018-02-06,32.8900,33.8200,32.6200,33.3900,633843
2018-02-05,33.8300,34.8800,32.5700,33.5100,827465
2018-02-02,34.6200,34.6310,34.0300,34.1700,637037
2018-02-01,35.1000,35.2700,33.9700,35.0400,681044
2018-01-31,35.7500,35.7900,34.5050,34.5800,756159
2018-01-30,36.1500,36.1500,34.4500,35.4700,795818
2018-01-29,36.1200,36.4200,35.8200,36.2400,414472
2018-01-26,36.2000,36.3500,35.7500,36.2800,229456
2018-01-25,36.4100,36.4900,35.5200,35.9400,660419
2018-01-24,36.8300,36.9990,36.1800,36.2700,435951
2018-01-23,37.5900,38.0000,36.3700,36.6900,927869
2018-01-22,35.9000,36.2400,35.6300,36.1900,660619
2018-01-19,35.0100,35.9500,35.0100,35.9200,518520
2018-01-18,34.9500,35.2900,34.6000,35.2000,443061
2018-01-17,35.3600,35.6600,34.8600,34.9600,868371
2018-01-16,34.8000,36.0800,34.8000,35.1000,974677
2018-01-12,35.0000,35.0400,34.5500,34.5600,542063
2018-01-11,34.7000,34.9300,34.5650,34.8900,248055
2018-01-10,34.9600,35.3000,34.2900,34.4500,424927
2018-01-09,35.0900,35.4100,34.9600,35.0900,418782
2018-01-08,34.6400,35.1600,34.5100,34.9100,573602
2018-01-05,33.7500,34.7900,33.7500,34.5500,416899
2018-01-04,34.0700,34.6100,34.0000,34.0700,488403
2018-01-03,33.7100,34.0700,33.5200,33.9100,806622
2018-01-02,34.1900,34.2700,33.4100,33.7100,814733
2017-12-29,34.1100,34.4400,33.9200,33.9300,442326
2017-12-28,34.2600,34.2600,33.6300,33.9700,282562
2017-12-27,34.0800,34.3200,33.9800,34.1100,311229
2017-12-26,34.4400,34.4400,33.8100,34.0300,148721
2017-12-22,34.4600,34.6250,34.0200,34.2000,323506
2017-12-21,34.0100,34.5600,33.8630,34.4300,333750
2017-12-20,33.2900,34.1500,33.0400,34.0100,645041
2017-12-19,33.3600,33.6200,33.1600,33.2900,977527
