timestamp,open,high,low,close,volume
2018-02-16,0.4829,0.5000,0.4752,0.4990,136925
2018-02-15,0.4996,0.4998,0.4750,0.4750,174743
2018-02-14,0.4924,0.5100,0.4805,0.4898,267547
2018-02-13,0.4800,0.5200,0.4800,0.4924,141913
2018-02-12,0.5192,0.5250,0.4900,0.4977,65302
2018-02-09,0.5500,0.5500,0.4849,0.5092,146760
2018-02-08,0.5300,0.5300,0.4998,0.5095,194716
2018-02-07,0.5000,0.5200,0.5000,0.5000,225580
2018-02-06,0.4900,0.5190,0.4530,0.5000,170950
2018-02-05,0.5201,0.5401,0.4753,0.4900,313904
2018-02-02,0.5600,0.5800,0.5000,0.5200,210879
2018-02-01,0.5739,0.6165,0.5207,0.5542,249582
2018-01-31,0.5800,0.6170,0.5703,0.5900,134514
2018-01-30,0.6067,0.6099,0.5649,0.5900,105446
2018-01-29,0.6250,0.6400,0.5900,0.5999,351930
2018-01-26,0.6004,0.6004,0.5539,0.5976,182245
2018-01-25,0.6012,0.6199,0.5950,0.5999,37422
2018-01-24,0.6100,0.6100,0.5918,0.5999,34499
2018-01-23,0.6100,0.6100,0.5801,0.6063,147091
2018-01-22,0.5970,0.6151,0.5816,0.6019,128313
2018-01-19,0.6200,0.6201,0.5970,0.6000,104357
2018-01-18,0.6300,0.6349,0.5662,0.6054,187747
2018-01-17,0.6400,0.6400,0.6212,0.6250,49210
2018-01-16,0.6600,0.6698,0.6211,0.6445,120527
2018-01-12,0.6710,0.6950,0.6560,0.6700,94195
2018-01-11,0.6800,0.6950,0.6656,0.6850,83516
2018-01-10,0.6850,0.6850,0.6650,0.6790,49809
2018-01-09,0.6841,0.6898,0.6700,0.6850,72715
2018-01-08,0.6990,0.6998,0.6320,0.6798,156421
2018-01-05,0.6600,0.6998,0.6540,0.6900,104776
2018-01-04,0.6800,0.6885,0.6500,0.6688,151211
2018-01-03,0.6900,0.7270,0.6850,0.6885,225267
2018-01-02,0.6500,0.6903,0.6500,0.6800,59201
2017-12-29,0.6300,0.6699,0.6230,0.6503,252489
