timestamp,open,high,low,close,volume
2018-02-16,30.9000,31.5000,30.8000,31.0500,398079
2018-02-15,30.7000,31.1000,30.6000,30.9000,637467
2018-02-14,30.1000,30.8750,30.1000,30.6000,468549
2018-02-13,30.7500,31.0000,30.2000,30.3000,494691
2018-02-12,30.3500,31.0500,30.1500,31.0000,1120204
2018-02-09,30.8000,31.6000,30.0000,30.1500,1279798
2018-02-08,31.2500,31.7750,30.7000,30.7500,1153717
2018-02-07,32.1000,32.8000,31.1000,31.1000,745155
2018-02-06,30.2500,32.5000,29.8000,31.9500,1430773
2018-02-05,31.9000,31.9500,30.8500,30.8500,1223513
2018-02-02,33.6000,33.7000,32.4000,32.5000,748702
2018-02-01,34.3000,34.4500,33.2750,33.6000,726993
2018-01-31,34.4500,34.7500,34.0500,34.3500,566941
2018-01-30,34.1000,34.5250,34.0000,34.3500,339115
2018-01-29,34.8500,35.0000,34.2000,34.3000,410187
2018-01-26,34.6500,34.8000,34.1000,34.7500,254505
2018-01-25,34.9500,35.0500,34.4750,34.5500,319838
2018-01-24,35.0000,35.2500,34.5500,34.6500,477293
2018-01-23,34.6500,35.1000,34.6000,35.0000,663971
2018-01-22,34.2500,34.8250,34.1000,34.7500,330953
2018-01-19,33.8000,34.4500,33.8000,34.3000,498107
2018-01-18,34.0500,34.1500,33.7500,33.8500,506207
2018-01-17,33.7500,34.1000,33.5000,34.1000,584729
2018-01-16,33.4000,33.9500,33.2500,33.5500,746173
2018-01-12,33.2000,33.4000,33.0000,33.0000,309904
2018-01-11,33.2500,33.4500,32.8500,33.0000,444241
2018-01-10,32.8500,33.3000,32.6450,33.2500,643212
2018-01-09,33.0000,33.2500,32.7750,33.0000,857595
2018-01-08,33.7000,33.8000,32.6750,32.9000,624780
2018-01-05,33.6500,33.8000,33.3000,33.8000,411576
2018-01-04,33.1000,33.3000,32.7500,33.3000,390920
2018-01-03,33.6000,33.6000,32.9000,33.0500,610557
2018-01-02,33.1500,33.7500,33.0000,33.6000,745972
2017-12-29,33.2000,33.4250,33.1000,33.1000,660669
2017-12-28,33.1000,33.2000,32.8500,33.2000,362677
2017-12-27,32.9000,33.3000,32.8500,33.1500,693514
2017-12-26,32.3000,32.8500,32.3000,32.8000,414523
2017-12-22,32.3500,32.5000,32.2000,32.4000,467237
2017-12-21,32.1000,32.4500,31.8500,32.2500,764761
2017-12-20,31.5500,32.0000,31.3000,31.8000,707893
2017-12-19,31.9000,32.0000,31.6500,31.7500,480527
2017-12-18,31.7000,32.0000,31.3750,31.8000,935626
2017-12-15,31.0500,31.8500,30.5500,31.4500,1713222
2017-12-14,31.3500,31.4750,30.5000,30.5500,1014978
2017-12-13,31.3000,31.5500,31.0000,31.4500,967555
2017-12-12,31.6500,31.6500,31.1500,31.3500,860600
2017-12-11,31.6500,31.8000,31.3500,31.6500,927979
2017-12-08,30.8500,31.5750,30.8250,31.4500,1192708
2017-12-07,30.5500,31.2000,30.5000,30.8500,1099226
2017-12-06,29.9000,30.8500,29.8500,30.4500,1851580
2017-12-05,30.4000,30.7500,29.6500,29.8500,3812910
2017-12-04,29.8500,31.2500,29.8500,31.1500,735100
2017-12-01,29.6500,29.8000,29.2000,29.5500,983668
2017-11-30,30.0000,30.3250,29.3500,29.6500,1090328
2017-11-29,29.3000,30.0000,29.3000,29.7000,1088822
2017-11-28,29.0500,29.6500,29.0000,29.3000,1601134
2017-11-27,29.0500,29.2500,28.7250,28.9000,678820
2017-11-24,28.4000,29.3000,28.4000,29.0500,430209
2017-11-22,28.5000,28.9500,28.2500,28.2500,969501
2017-11-21,28.7000,28.7500,27.8700,28.4500,3333133
2017-11-20,28.8500,29.4500,28.8480,29.2000,551407
2017-11-17,28.2500,28.8000,28.2500,28.8000,823854
2017-11-16,27.7500,28.5500,27.6500,28.4000,798526
2017-11-15,27.6000,27.7750,27.4500,27.4500,453269
2017-11-14,27.6000,27.9500,27.4500,27.9000,581975
2017-11-13,27.4500,27.9000,27.3500,27.7500,599217
2017-11-10,27.7000,28.1500,27.5500,27.6500,772722
2017-11-09,28.0000,28.6000,27.8500,27.9000,789336
2017-11-08,27.4000,28.5000,26.8500,27.9500,1574542
2017-11-07,28.0000,28.4000,26.3500,26.8000,1076073
2017-11-06,28.6500,28.8500,28.1500,28.1500,335672
2017-11-03,28.7500,29.0500,28.6000,28.8000,1002774
2017-11-02,28.3500,28.5500,28.2500,28.4000,584462
2017-11-01,28.4500,28.7000,28.2000,28.4000,420696
2017-10-31,28.1500,28.4000,28.1000,28.3000,487215
2017-10-30,27.8000,28.0500,27.7500,28.0000,258965
