timestamp,open,high,low,close,volume
2018-02-16,164.9300,167.5600,164.3900,165.6000,1421066
2018-02-15,167.5500,167.9800,163.3400,165.0200,1878835
2018-02-14,164.2300,166.8300,163.1000,166.0000,1932983
2018-02-13,165.4600,166.0300,164.1000,165.6300,1167267
2018-02-12,165.5300,167.5950,164.4900,165.7700,1899184
2018-02-09,168.8800,168.8800,159.3600,164.0500,2801999
2018-02-08,172.8500,173.5000,165.7000,165.7300,2390342
2018-02-07,175.9000,179.6700,172.5650,172.7400,2542172
2018-02-06,173.6000,180.8700,169.2400,174.8300,3474175
2018-02-05,183.2400,187.3600,179.0100,179.0100,2158359
2018-02-02,188.2900,189.0000,184.0200,184.3100,1534542
2018-02-01,187.6700,190.2500,185.9400,189.1700,926514
2018-01-31,188.9000,191.2100,187.3200,188.0000,1461669
2018-01-30,189.2200,189.2400,185.4575,187.2500,1422025
2018-01-29,192.0500,194.1800,190.0700,190.8100,1213686
2018-01-26,190.2800,192.5300,189.1100,192.5000,1043840
2018-01-25,189.9800,189.9800,186.6500,189.4000,1371535
2018-01-24,189.2200,191.0200,188.0600,188.3500,1341818
2018-01-23,189.9900,190.3400,188.0200,188.4300,992629
2018-01-22,188.8000,189.6000,187.6025,189.5800,1175707
2018-01-19,187.1600,189.5700,186.6700,189.0800,1807437
2018-01-18,183.3700,185.2750,183.3000,183.7200,788411
2018-01-17,182.7400,184.3395,182.4000,183.6900,996019
2018-01-16,184.8100,184.9050,181.3900,182.5500,1449232
2018-01-12,183.8900,185.1000,183.5000,184.1800,1469180
2018-01-11,181.2400,184.5100,180.6500,183.9000,1216913
2018-01-10,181.8600,182.1800,180.0700,180.5600,910783
2018-01-09,182.4800,183.3400,181.6600,181.9600,1568694
2018-01-08,181.1300,182.3800,180.2600,182.1200,1435013
2018-01-05,182.0200,182.3000,180.1100,181.4600,1068192
2018-01-04,179.6200,181.8500,179.2300,181.7500,1407514
2018-01-03,177.3400,179.2000,176.8700,179.0100,932586
2018-01-02,177.5100,178.2200,176.3000,177.0600,1039410
2017-12-29,177.7300,177.9200,176.5000,176.6400,551873
2017-12-28,176.2400,177.2900,175.6900,177.2000,678180
2017-12-27,176.5000,177.3100,175.6336,176.2400,648265
2017-12-26,175.9500,176.6300,175.6500,176.1400,383426
2017-12-22,174.9850,176.1700,174.3700,175.7600,504352
2017-12-21,174.8700,175.1359,172.5600,174.6600,1063126
2017-12-20,174.4500,175.6600,173.4100,175.1500,1001600
2017-12-19,173.0400,174.3800,172.3400,174.0000,1162513
2017-12-18,170.9100,173.4597,170.4900,172.0400,1182733
2017-12-15,169.6400,171.0000,169.0100,169.6300,1465265
2017-12-14,169.9300,170.5000,168.1000,168.5500,1132978
2017-12-13,169.0000,170.8800,168.2100,169.5800,1182594
2017-12-12,170.9100,171.0150,168.9400,169.2200,1854177
2017-12-11,170.9500,171.5600,170.0500,170.7700,1118714
2017-12-08,169.3800,170.8800,169.1000,170.8800,1062052
